tile,clip_id,source,error,striker_ok,pose_ok
139,cs10k_lofted-legside_lofted-legside-vid71-4,cricshot10k,,1,1
140,cs10k_lofted-offside_lofted-offside-vid483-32,cricshot10k,,1,1
141,cs10k_lofted-offside_lofted-offside-vid486-11,cricshot10k,,1,1
142,cs10k_pull_pull-vid467-17,cricshot10k,,1,1
143,cs10k_pull_pull-vid471-25,cricshot10k,,1,1
144,cs10k_square-cut_square-cut-vid111-1,cricshot10k,,1,1
145,cs10k_square-cut_square-cut-vid116-34,cricshot10k,,1,1
146,cs10k_square-cut_square-cut-vid506-11,cricshot10k,,1,1
147,cs10k_square-cut_square-cut-vid508-50,cricshot10k,,1,1
148,cs10k_sweep_sweep-vid257-7,cricshot10k,,1,1
149,cs10k_sweep_sweep-vid278-1,cricshot10k,keeper,0,0
150,cs10k_upper-cut_upper-cut-vid229-24,cricshot10k,,1,1
151,cs10k_upper-cut_upper-cut-vid234-19,cricshot10k,,1,1
152,ipl_flick_flick-24-gt-rr-flick-2,ipl2023,,1,1
153,ipl_flick_flick-26-lsg-mi-flick-3,ipl2023,,1,1
154,ipl_pull_pull-8-pbks-kkr-pull-1,ipl2023,,1,1
155,ipl_slog_slog-1-csk-kkr-slog-2,ipl2023,,1,1
156,ku_defensive-shot_defensive-shot-74,kucricshot,,1,1
157,ku_defensive-shot_defensive-shot-83,kucricshot,,1,1
158,ku_pull-shot_pull-shot-207,kucricshot,,1,1
159,ku_pull-shot_pull-shot-218,kucricshot,,1,1
160,amt_cut_-icc-wt20-australia-vs-bangladesh-match-highlights-1419-1553,amittalmale,,1,1
161,amt_cut_cut-icc-wt20-australia-vs-bangladesh-match-highlights-98-195,amittalmale,,1,1
162,cs10_defense_cricketshot-train-defense-defense-0072,cricshot10,,1,1
163,cs10_defense_cricketshot-train-defense-defense-0082,cricshot10,,1,1
164,cs10_pull_cricketshot-train-pull-pull-0086,cricshot10,,1,1
165,cs10_pull_cricketshot-train-pull-pull-0097,cricshot10,,1,1
166,cs10k_cover-drive_cover-drive-vid245-42,cricshot10k,keeper,0,0
167,cs10k_cover-drive_cover-drive-vid248-23,cricshot10k,,1,1
168,cs10k_defensive_defensive-vid247-10,cricshot10k,keeper,0,0
169,cs10k_defensive_defensive-vid248-16,cricshot10k,,1,1
170,cs10k_down-the-wicket_down-the-wicket-vid443-44,cricshot10k,,1,1
171,cs10k_down-the-wicket_down-the-wicket-vid444-52,cricshot10k,,1,1
172,cs10k_flick_flick-vid308-12,cricshot10k,,1,1
173,cs10k_flick_flick-vid312-6,cricshot10k,,1,1
174,cs10k_hook_hook-vid375-52,cricshot10k,,1,1
175,cs10k_hook_hook-vid381-25,cricshot10k,,1,1
176,cs10k_lofted-legside_lofted-legside-vid289-7,cricshot10k,,1,1
177,cs10k_lofted-legside_lofted-legside-vid30-45,cricshot10k,,1,1
178,cs10k_lofted-legside_lofted-legside-vid65-26,cricshot10k,,1,1
179,cs10k_lofted-legside_lofted-legside-vid72-26,cricshot10k,,1,1
180,cs10k_lofted-offside_lofted-offside-vid483-46,cricshot10k,,1,1
181,cs10k_lofted-offside_lofted-offside-vid486-13,cricshot10k,,1,1
182,cs10k_pull_pull-vid467-18,cricshot10k,,1,1
183,cs10k_pull_pull-vid471-37,cricshot10k,,1,1
184,cs10k_square-cut_square-cut-vid111-7,cricshot10k,,1,1
185,cs10k_square-cut_square-cut-vid117-17,cricshot10k,,1,1
186,cs10k_square-cut_square-cut-vid506-17,cricshot10k,keeper,0,0
187,cs10k_square-cut_square-cut-vid508-51,cricshot10k,,1,1
188,cs10k_sweep_sweep-vid260-30,cricshot10k,,1,1
189,cs10k_sweep_sweep-vid279-13,cricshot10k,,1,1
190,cs10k_upper-cut_upper-cut-vid229-45,cricshot10k,,1,1
191,cs10k_upper-cut_upper-cut-vid234-25,cricshot10k,,1,0
192,ipl_flick_flick-24-gt-rr-flick-3,ipl2023,,1,1
193,ipl_flick_flick-26-lsg-mi-flick-4,ipl2023,,1,1
194,ipl_pull_pull-8-pbks-kkr-pull-2,ipl2023,,1,1
195,ipl_slog_slog-10-gt-dc-slog-1,ipl2023,,1,1
196,ku_defensive-shot_defensive-shot-75,kucricshot,,1,1
197,ku_defensive-shot_defensive-shot-84,kucricshot,,1,1
198,ku_pull-shot_pull-shot-208,kucricshot,,1,1
199,ku_pull-shot_pull-shot-219,kucricshot,,1,1
200,amt_cut_-icc-wt20-australia-vs-bangladesh-match-highlights-2539-2715,amittalmale,,1,1
201,amt_cut_d-videos-cut-icc-wt20-hong-kong-v-scotland-highlights-98-245,amittalmale,,1,1
202,cs10_defense_cricketshot-train-defense-defense-0073,cricshot10,,1,1
203,cs10_defense_cricketshot-train-defense-defense-0083,cricshot10,,1,1
204,cs10_pull_cricketshot-train-pull-pull-0087,cricshot10,,1,1
205,cs10_pull_cricketshot-train-pull-pull-0098,cricshot10,,1,1
206,cs10k_cover-drive_cover-drive-vid245-48,cricshot10k,,1,1
207,cs10k_cover-drive_cover-drive-vid248-47,cricshot10k,,1,1
208,cs10k_defensive_defensive-vid247-14,cricshot10k,,1,1
209,cs10k_defensive_defensive-vid248-24,cricshot10k,,1,1
210,cs10k_down-the-wicket_down-the-wicket-vid443-49,cricshot10k,,1,1
211,cs10k_down-the-wicket_down-the-wicket-vid445-1,cricshot10k,,1,1
212,cs10k_flick_flick-vid309-7,cricshot10k,,1,1
213,cs10k_flick_flick-vid313-27,cricshot10k,,1,1
214,cs10k_hook_hook-vid378-39,cricshot10k,,1,1
215,cs10k_hook_hook-vid382-10,cricshot10k,other person,0,0
216,cs10k_lofted-legside_lofted-legside-vid290-10,cricshot10k,,1,1
217,cs10k_lofted-legside_lofted-legside-vid300-11,cricshot10k,,1,1
218,cs10k_lofted-legside_lofted-legside-vid65-27,cricshot10k,,1,1
219,cs10k_lofted-legside_lofted-legside-vid72-27,cricshot10k,,1,1
220,cs10k_lofted-offside_lofted-offside-vid484-15,cricshot10k,,1,1
221,cs10k_lofted-offside_lofted-offside-vid486-22,cricshot10k,,1,1
222,cs10k_pull_pull-vid467-24,cricshot10k,,1,1
223,cs10k_pull_pull-vid472-16,cricshot10k,,1,1
224,cs10k_square-cut_square-cut-vid112-10,cricshot10k,other person,0,0
225,cs10k_square-cut_square-cut-vid118-9,cricshot10k,,1,1
226,cs10k_square-cut_square-cut-vid506-21,cricshot10k,,1,1
227,cs10k_square-cut_square-cut-vid509-1,cricshot10k,,1,1
228,cs10k_sweep_sweep-vid260-31,cricshot10k,keeper,0,0
229,cs10k_sweep_sweep-vid28-39,cricshot10k,,1,1
230,cs10k_upper-cut_upper-cut-vid23-22,cricshot10k,,1,1
231,cs10k_upper-cut_upper-cut-vid244-5,cricshot10k,,1,1
232,ipl_flick_flick-24-gt-rr-flick-4,ipl2023,,1,1
233,ipl_flick_flick-26-lsg-mi-flick-5,ipl2023,,1,1
234,ipl_pull_pull-9-rr-mi-pull-1,ipl2023,,1,1
235,ipl_slog_slog-10-gt-dc-slog-2,ipl2023,,1,1
236,ku_defensive-shot_defensive-shot-76,kucricshot,,1,1
237,ku_defensive-shot_defensive-shot-85,kucricshot,,1,1
238,ku_pull-shot_pull-shot-209,kucricshot,,1,1
239,ku_pull-shot_pull-shot-22,kucricshot,,1,1
240,amt_cut_-icc-wt20-new-zealand-vs-pakistan-match-highlights-1761-1858,amittalmale,,1,1
241,amt_cut_d-videos-cut-icc-wt20-scotland-vs-zimbabwe-highlights-98-193,amittalmale,keeper,0,0
242,cs10_defense_cricketshot-train-defense-defense-0074,cricshot10,,1,1
243,cs10_defense_cricketshot-train-defense-defense-0084,cricshot10,,1,1
244,cs10_pull_cricketshot-train-pull-pull-0088,cricshot10,,1,1
245,cs10_pull_cricketshot-train-pull-pull-0099,cricshot10,,1,1
246,cs10k_cover-drive_cover-drive-vid245-6,cricshot10k,,1,1
247,cs10k_cover-drive_cover-drive-vid248-50,cricshot10k,,1,1
248,cs10k_defensive_defensive-vid247-15,cricshot10k,,1,1
249,cs10k_defensive_defensive-vid248-43,cricshot10k,,1,1
250,cs10k_down-the-wicket_down-the-wicket-vid443-57,cricshot10k,,1,1
251,cs10k_down-the-wicket_down-the-wicket-vid445-11,cricshot10k,,1,1
252,cs10k_flick_flick-vid31-25,cricshot10k,,1,1
253,cs10k_flick_flick-vid313-29,cricshot10k,,1,1
254,cs10k_hook_hook-vid378-40,cricshot10k,,1,1
255,cs10k_hook_hook-vid384-41,cricshot10k,,1,1
256,cs10k_lofted-legside_lofted-legside-vid291-17,cricshot10k,,1,1
257,cs10k_lofted-legside_lofted-legside-vid300-14,cricshot10k,,1,1
258,cs10k_lofted-legside_lofted-legside-vid65-39,cricshot10k,,1,1
259,cs10k_lofted-legside_lofted-legside-vid73-16,cricshot10k,,1,1
260,cs10k_lofted-offside_lofted-offside-vid484-6,cricshot10k,,1,1
261,cs10k_lofted-offside_lofted-offside-vid486-35,cricshot10k,,1,1
262,cs10k_pull_pull-vid468-32,cricshot10k,,1,1
263,cs10k_pull_pull-vid472-19,cricshot10k,,1,1
264,cs10k_square-cut_square-cut-vid112-4,cricshot10k,,1,1
265,cs10k_square-cut_square-cut-vid119-0,cricshot10k,,1,1
266,cs10k_square-cut_square-cut-vid506-31,cricshot10k,,1,1
267,cs10k_square-cut_square-cut-vid509-8,cricshot10k,,1,1
268,cs10k_sweep_sweep-vid260-39,cricshot10k,,1,1
269,cs10k_sweep_sweep-vid28-49,cricshot10k,,1,1
270,cs10k_upper-cut_upper-cut-vid232-16,cricshot10k,,1,0
271,cs10k_upper-cut_upper-cut-vid246-15,cricshot10k,,1,1
272,ipl_flick_flick-24-gt-rr-flick-5,ipl2023,,1,1
273,ipl_flick_flick-26-lsg-mi-flick-6,ipl2023,,1,1
274,ipl_pull_pull-9-rr-mi-pull-2,ipl2023,,1,1
275,ipl_slog_slog-10-gt-dc-slog-3,ipl2023,,1,1
276,ku_defensive-shot_defensive-shot-77,kucricshot,,1,1
277,ku_defensive-shot_defensive-shot-86,kucricshot,,1,1
278,ku_pull-shot_pull-shot-21,kucricshot,,1,1
279,ku_pull-shot_pull-shot-220,kucricshot,,1,1
280,amt_cut_-icc-wt20-south-africa-vs-england-match-highlights-2949-3035,amittalmale,,1,1
281,amt_cut_deos-cut-icc-wt20-hong-kong-vs-zimbabwe-highlights-1195-1359,amittalmale,,1,1
282,cs10_defense_cricketshot-train-defense-defense-0075,cricshot10,,1,1
283,cs10_defense_cricketshot-train-defense-defense-0085,cricshot10,,1,1
284,cs10_pull_cricketshot-train-pull-pull-0090,cricshot10,,1,1
285,cs10_pull_cricketshot-train-pull-pull-0100,cricshot10,,1,1
286,cs10k_cover-drive_cover-drive-vid246-14,cricshot10k,,1,1
287,cs10k_cover-drive_cover-drive-vid249-15,cricshot10k,,1,1
288,cs10k_defensive_defensive-vid247-18,cricshot10k,,1,1
289,cs10k_defensive_defensive-vid248-53,cricshot10k,,1,1
290,cs10k_down-the-wicket_down-the-wicket-vid443-65,cricshot10k,,1,1
291,cs10k_down-the-wicket_down-the-wicket-vid445-12,cricshot10k,,1,1
292,cs10k_flick_flick-vid31-26,cricshot10k,,1,1
293,cs10k_flick_flick-vid313-37,cricshot10k,,1,1
294,cs10k_hook_hook-vid379-35,cricshot10k,,1,1
295,cs10k_hook_hook-vid384-42,cricshot10k,,1,1
296,cs10k_lofted-legside_lofted-legside-vid292-21,cricshot10k,,1,1
297,cs10k_lofted-legside_lofted-legside-vid300-15,cricshot10k,track switch,0,0
298,cs10k_lofted-legside_lofted-legside-vid65-48,cricshot10k,,1,1
299,cs10k_lofted-legside_lofted-legside-vid73-23,cricshot10k,,1,1
300,cs10k_lofted-offside_lofted-offside-vid484-9,cricshot10k,,1,1
301,cs10k_lofted-offside_lofted-offside-vid486-64,cricshot10k,,1,1
302,cs10k_pull_pull-vid469-33,cricshot10k,,1,1
303,cs10k_pull_pull-vid472-3,cricshot10k,,1,1
304,cs10k_square-cut_square-cut-vid114-13,cricshot10k,,1,1
305,cs10k_square-cut_square-cut-vid119-19,cricshot10k,,1,1
306,cs10k_square-cut_square-cut-vid507-12,cricshot10k,,1,1
307,cs10k_square-cut_square-cut-vid51-5,cricshot10k,,1,1
308,cs10k_sweep_sweep-vid261-14,cricshot10k,,1,1
309,cs10k_sweep_sweep-vid28-56,cricshot10k,,1,1
310,cs10k_upper-cut_upper-cut-vid232-23,cricshot10k,,1,1
311,cs10k_upper-cut_upper-cut-vid246-33,cricshot10k,,1,0
312,ipl_flick_flick-24-gt-rr-flick-6,ipl2023,,1,1
313,ipl_flick_flick-27-rcb-dc-flick-1,ipl2023,,1,1
314,ipl_pull_pull-9-rr-mi-pull-3,ipl2023,,1,1
315,ipl_slog_slog-10-gt-dc-slog-4,ipl2023,,1,1
316,ku_defensive-shot_defensive-shot-78,kucricshot,,1,1
317,ku_defensive-shot_defensive-shot-87,kucricshot,,1,1
318,ku_pull-shot_pull-shot-210,kucricshot,,1,1
319,ku_pull-shot_pull-shot-221,kucricshot,,1,1
320,amt_cut_-wt20-afghanistan-vs-south-africa-match-highlights-2124-2277,amittalmale,,1,1
321,amt_cut_deos-cut-icc-wt20-hong-kong-vs-zimbabwe-highlights-4165-4365,amittalmale,,1,1
322,cs10_defense_cricketshot-train-defense-defense-0076,cricshot10,,1,1
323,cs10_defense_cricketshot-train-defense-defense-0086,cricshot10,,1,1
324,cs10_pull_cricketshot-train-pull-pull-0091,cricshot10,,1,1
325,cs10_pull_cricketshot-train-pull-pull-0101,cricshot10,,1,1
326,cs10k_cover-drive_cover-drive-vid246-5,cricshot10k,,1,1
327,cs10k_cover-drive_cover-drive-vid249-16,cricshot10k,,1,1
328,cs10k_defensive_defensive-vid247-29,cricshot10k,,1,1
329,cs10k_defensive_defensive-vid248-54,cricshot10k,,1,1
330,cs10k_down-the-wicket_down-the-wicket-vid443-67,cricshot10k,,1,1
331,cs10k_down-the-wicket_down-the-wicket-vid445-16,cricshot10k,,1,1
332,cs10k_flick_flick-vid31-38,cricshot10k,,1,1
333,cs10k_flick_flick-vid313-38,cricshot10k,,1,1
334,cs10k_hook_hook-vid38-21,cricshot10k,,1,1
335,cs10k_hook_hook-vid385-17,cricshot10k,,1,1
336,cs10k_lofted-legside_lofted-legside-vid293-7,cricshot10k,,1,1
337,cs10k_lofted-legside_lofted-legside-vid302-2,cricshot10k,,1,1
338,cs10k_lofted-legside_lofted-legside-vid68-10,cricshot10k,keeper,0,0
339,cs10k_lofted-legside_lofted-legside-vid74-17,cricshot10k,,1,1
340,cs10k_lofted-offside_lofted-offside-vid485-21,cricshot10k,,1,1
341,cs10k_lofted-offside_lofted-offside-vid486-70,cricshot10k,,1,1
342,cs10k_pull_pull-vid47-11,cricshot10k,,1,1
343,cs10k_pull_pull-vid472-43,cricshot10k,,1,1
344,cs10k_square-cut_square-cut-vid114-22,cricshot10k,,1,1
345,cs10k_square-cut_square-cut-vid119-2,cricshot10k,,1,1
346,cs10k_square-cut_square-cut-vid507-22,cricshot10k,,1,1
347,cs10k_square-cut_square-cut-vid51-50,cricshot10k,,1,1
348,cs10k_sweep_sweep-vid261-30,cricshot10k,keeper,0,0
349,cs10k_sweep_sweep-vid280-15,cricshot10k,,1,1
350,cs10k_upper-cut_upper-cut-vid232-3,cricshot10k,,1,1
351,cs10k_upper-cut_upper-cut-vid246-7,cricshot10k,,1,0
352,ipl_flick_flick-24-gt-rr-flick-7,ipl2023,,1,1
353,ipl_flick_flick-27-rcb-dc-flick-2,ipl2023,,1,1
354,ipl_pull_pull-9-rr-mi-pull-4,ipl2023,,1,1
355,ipl_slog_slog-10-gt-dc-slog-5,ipl2023,,1,1
356,ku_defensive-shot_defensive-shot-79,kucricshot,,1,1
357,ku_defensive-shot_defensive-shot-88,kucricshot,,1,1
358,ku_pull-shot_pull-shot-211,kucricshot,,1,1
359,ku_pull-shot_pull-shot-223,kucricshot,,1,1
360,amt_cut_-wt20-afghanistan-vs-south-africa-match-highlights-2848-2956,amittalmale,,1,1
361,amt_cut_deos-cut-icc-wt20-hong-kong-vs-zimbabwe-highlights-4366-4552,amittalmale,,1,1
362,cs10_defense_cricketshot-train-defense-defense-0077,cricshot10,,1,1
363,cs10_defense_cricketshot-train-defense-defense-0087,cricshot10,,1,1
364,cs10_pull_cricketshot-train-pull-pull-0092,cricshot10,,1,1
365,cs10_pull_cricketshot-train-pull-pull-0102,cricshot10,,1,1
366,cs10k_cover-drive_cover-drive-vid248-0,cricshot10k,,1,1
367,cs10k_cover-drive_cover-drive-vid249-30,cricshot10k,,1,1
368,cs10k_defensive_defensive-vid247-3,cricshot10k,,1,1
369,cs10k_defensive_defensive-vid248-6,cricshot10k,,1,1
370,cs10k_down-the-wicket_down-the-wicket-vid443-68,cricshot10k,,1,1
371,cs10k_down-the-wicket_down-the-wicket-vid445-31,cricshot10k,,1,1
372,cs10k_flick_flick-vid310-8,cricshot10k,,1,1
373,cs10k_flick_flick-vid314-4,cricshot10k,,1,1
374,cs10k_hook_hook-vid38-23,cricshot10k,keeper,0,0
375,cs10k_hook_hook-vid385-39,cricshot10k,,1,1
376,cs10k_lofted-legside_lofted-legside-vid294-16,cricshot10k,,1,1
377,cs10k_lofted-legside_lofted-legside-vid303-24,cricshot10k,keeper,0,0
378,cs10k_lofted-legside_lofted-legside-vid68-2,cricshot10k,keeper,0,0
379,cs10k_lofted-legside_lofted-legside-vid74-33,cricshot10k,,1,1
380,cs10k_lofted-offside_lofted-offside-vid485-30,cricshot10k,,1,1
381,cs10k_lofted-offside_lofted-offside-vid487-12,cricshot10k,,1,1
