tile,clip_id,source
61,cs10k_lofted-offside_lofted-offside-vid485-37,cricshot10k
62,cs10k_pull_pull-vid466-20,cricshot10k
63,cs10k_pull_pull-vid470-35,cricshot10k
64,cs10k_square-cut_square-cut-vid110-0,cricshot10k
65,cs10k_square-cut_square-cut-vid116-24,cricshot10k
66,cs10k_square-cut_square-cut-vid505-39,cricshot10k
67,cs10k_square-cut_square-cut-vid507-5,cricshot10k
68,cs10k_sweep_sweep-vid256-37,cricshot10k
69,cs10k_sweep_sweep-vid270-14,cricshot10k
70,cs10k_upper-cut_upper-cut-vid226-42,cricshot10k
71,cs10k_upper-cut_upper-cut-vid234-14,cricshot10k
72,ipl_flick_flick-23-pbks-mi-flick-5,ipl2023
73,ipl_flick_flick-26-lsg-mi-flick-1,ipl2023
74,ipl_pull_pull-7-csk-lsg-pull-4,ipl2023
75,ipl_pull_pull-9-rr-mi-pull-7,ipl2023
76,ku_defensive-shot_defensive-shot-72,kucricshot
77,ku_defensive-shot_defensive-shot-81,kucricshot
78,ku_pull-shot_pull-shot-204,kucricshot
79,ku_pull-shot_pull-shot-216,kucricshot
80,amt_cut_-cut-icc-wt20-india-vs-bangladesh-match-highlights-4150-4238,amittalmale
81,amt_cut_c-wt20-england-v-new-zealand-semi-final-highlights-2604-2739,amittalmale
82,cs10_defense_cricketshot-train-defense-defense-0070,cricshot10
83,cs10_defense_cricketshot-train-defense-defense-0080,cricshot10
84,cs10_pull_cricketshot-train-pull-pull-0084,cricshot10
85,cs10_pull_cricketshot-train-pull-pull-0095,cricshot10
86,cs10k_cover-drive_cover-drive-vid245-3,cricshot10k
87,cs10k_cover-drive_cover-drive-vid248-19,cricshot10k
88,cs10k_defensive_defensive-vid246-17,cricshot10k
89,cs10k_defensive_defensive-vid247-6,cricshot10k
90,cs10k_down-the-wicket_down-the-wicket-vid443-3,cricshot10k
91,cs10k_down-the-wicket_down-the-wicket-vid444-11,cricshot10k
92,cs10k_flick_flick-vid307-1,cricshot10k
93,cs10k_flick_flick-vid312-29,cricshot10k
94,cs10k_hook_hook-vid37-5,cricshot10k
95,cs10k_hook_hook-vid380-32,cricshot10k
96,cs10k_lofted-legside_lofted-legside-vid282-4,cricshot10k
97,cs10k_lofted-legside_lofted-legside-vid3-18,cricshot10k
98,cs10k_lofted-legside_lofted-legside-vid61-8,cricshot10k
99,cs10k_lofted-legside_lofted-legside-vid71-21,cricshot10k
100,cs10k_lofted-offside_lofted-offside-vid482-60,cricshot10k
101,cs10k_lofted-offside_lofted-offside-vid485-52,cricshot10k
102,cs10k_pull_pull-vid467-15,cricshot10k
103,cs10k_pull_pull-vid470-4,cricshot10k
104,cs10k_square-cut_square-cut-vid110-27,cricshot10k
105,cs10k_square-cut_square-cut-vid116-29,cricshot10k
106,cs10k_square-cut_square-cut-vid505-5,cricshot10k
107,cs10k_square-cut_square-cut-vid508-11,cricshot10k
108,cs10k_sweep_sweep-vid256-8,cricshot10k
109,cs10k_sweep_sweep-vid273-0,cricshot10k
110,cs10k_upper-cut_upper-cut-vid227-17,cricshot10k
111,cs10k_upper-cut_upper-cut-vid234-17,cricshot10k
112,ipl_flick_flick-24-gt-rr-flick-1,ipl2023
113,ipl_flick_flick-26-lsg-mi-flick-2,ipl2023
114,ipl_pull_pull-7-csk-lsg-pull-5,ipl2023
115,ipl_slog_slog-1-csk-kkr-slog-1,ipl2023
116,ku_defensive-shot_defensive-shot-73,kucricshot
117,ku_defensive-shot_defensive-shot-82,kucricshot
118,ku_pull-shot_pull-shot-206,kucricshot
119,ku_pull-shot_pull-shot-217,kucricshot
120,amt_cut_-icc-wt20-afghanistan-vs-zimbabwe-match-highlights-3866-3946,amittalmale
121,amt_cut_cc-wt20-south-africa-vs-west-indies-match-highlights-696-822,amittalmale
122,cs10_defense_cricketshot-train-defense-defense-0071,cricshot10
123,cs10_defense_cricketshot-train-defense-defense-0081,cricshot10
124,cs10_pull_cricketshot-train-pull-pull-0085,cricshot10
125,cs10_pull_cricketshot-train-pull-pull-0096,cricshot10
126,cs10k_cover-drive_cover-drive-vid245-34,cricshot10k
127,cs10k_cover-drive_cover-drive-vid248-2,cricshot10k
128,cs10k_defensive_defensive-vid246-9,cricshot10k
129,cs10k_defensive_defensive-vid248-11,cricshot10k
130,cs10k_down-the-wicket_down-the-wicket-vid443-32,cricshot10k
131,cs10k_down-the-wicket_down-the-wicket-vid444-28,cricshot10k
132,cs10k_flick_flick-vid307-3,cricshot10k
133,cs10k_flick_flick-vid312-3,cricshot10k
134,cs10k_hook_hook-vid374-9,cricshot10k
135,cs10k_hook_hook-vid380-35,cricshot10k
136,cs10k_lofted-legside_lofted-legside-vid284-0,cricshot10k
137,cs10k_lofted-legside_lofted-legside-vid3-19,cricshot10k
138,cs10k_lofted-legside_lofted-legside-vid62-55,cricshot10k
139,cs10k_lofted-legside_lofted-legside-vid71-4,cricshot10k
140,cs10k_lofted-offside_lofted-offside-vid483-32,cricshot10k
141,cs10k_lofted-offside_lofted-offside-vid486-11,cricshot10k
142,cs10k_pull_pull-vid467-17,cricshot10k
143,cs10k_pull_pull-vid471-25,cricshot10k
144,cs10k_square-cut_square-cut-vid111-1,cricshot10k
145,cs10k_square-cut_square-cut-vid116-34,cricshot10k
146,cs10k_square-cut_square-cut-vid506-11,cricshot10k
147,cs10k_square-cut_square-cut-vid508-50,cricshot10k
148,cs10k_sweep_sweep-vid257-7,cricshot10k
149,cs10k_sweep_sweep-vid278-1,cricshot10k
150,cs10k_upper-cut_upper-cut-vid229-24,cricshot10k
151,cs10k_upper-cut_upper-cut-vid234-19,cricshot10k
152,ipl_flick_flick-24-gt-rr-flick-2,ipl2023
153,ipl_flick_flick-26-lsg-mi-flick-3,ipl2023
154,ipl_pull_pull-8-pbks-kkr-pull-1,ipl2023
155,ipl_slog_slog-1-csk-kkr-slog-2,ipl2023
156,ku_defensive-shot_defensive-shot-74,kucricshot
157,ku_defensive-shot_defensive-shot-83,kucricshot
158,ku_pull-shot_pull-shot-207,kucricshot
159,ku_pull-shot_pull-shot-218,kucricshot
160,amt_cut_-icc-wt20-australia-vs-bangladesh-match-highlights-1419-1553,amittalmale
161,amt_cut_cut-icc-wt20-australia-vs-bangladesh-match-highlights-98-195,amittalmale
162,cs10_defense_cricketshot-train-defense-defense-0072,cricshot10
163,cs10_defense_cricketshot-train-defense-defense-0082,cricshot10
164,cs10_pull_cricketshot-train-pull-pull-0086,cricshot10
165,cs10_pull_cricketshot-train-pull-pull-0097,cricshot10
166,cs10k_cover-drive_cover-drive-vid245-42,cricshot10k
167,cs10k_cover-drive_cover-drive-vid248-23,cricshot10k
168,cs10k_defensive_defensive-vid247-10,cricshot10k
169,cs10k_defensive_defensive-vid248-16,cricshot10k
170,cs10k_down-the-wicket_down-the-wicket-vid443-44,cricshot10k
171,cs10k_down-the-wicket_down-the-wicket-vid444-52,cricshot10k
172,cs10k_flick_flick-vid308-12,cricshot10k
173,cs10k_flick_flick-vid312-6,cricshot10k
174,cs10k_hook_hook-vid375-52,cricshot10k
175,cs10k_hook_hook-vid381-25,cricshot10k
176,cs10k_lofted-legside_lofted-legside-vid289-7,cricshot10k
177,cs10k_lofted-legside_lofted-legside-vid30-45,cricshot10k
178,cs10k_lofted-legside_lofted-legside-vid65-26,cricshot10k
179,cs10k_lofted-legside_lofted-legside-vid72-26,cricshot10k
180,cs10k_lofted-offside_lofted-offside-vid483-46,cricshot10k
181,cs10k_lofted-offside_lofted-offside-vid486-13,cricshot10k
182,cs10k_pull_pull-vid467-18,cricshot10k
183,cs10k_pull_pull-vid471-37,cricshot10k
184,cs10k_square-cut_square-cut-vid111-7,cricshot10k
185,cs10k_square-cut_square-cut-vid117-17,cricshot10k
186,cs10k_square-cut_square-cut-vid506-17,cricshot10k
187,cs10k_square-cut_square-cut-vid508-51,cricshot10k
188,cs10k_sweep_sweep-vid260-30,cricshot10k
189,cs10k_sweep_sweep-vid279-13,cricshot10k
190,cs10k_upper-cut_upper-cut-vid229-45,cricshot10k
191,cs10k_upper-cut_upper-cut-vid234-25,cricshot10k
192,ipl_flick_flick-24-gt-rr-flick-3,ipl2023
193,ipl_flick_flick-26-lsg-mi-flick-4,ipl2023
194,ipl_pull_pull-8-pbks-kkr-pull-2,ipl2023
195,ipl_slog_slog-10-gt-dc-slog-1,ipl2023
196,ku_defensive-shot_defensive-shot-75,kucricshot
197,ku_defensive-shot_defensive-shot-84,kucricshot
198,ku_pull-shot_pull-shot-208,kucricshot
199,ku_pull-shot_pull-shot-219,kucricshot
200,amt_cut_-icc-wt20-australia-vs-bangladesh-match-highlights-2539-2715,amittalmale
201,amt_cut_d-videos-cut-icc-wt20-hong-kong-v-scotland-highlights-98-245,amittalmale
202,cs10_defense_cricketshot-train-defense-defense-0073,cricshot10
203,cs10_defense_cricketshot-train-defense-defense-0083,cricshot10
204,cs10_pull_cricketshot-train-pull-pull-0087,cricshot10
205,cs10_pull_cricketshot-train-pull-pull-0098,cricshot10
206,cs10k_cover-drive_cover-drive-vid245-48,cricshot10k
207,cs10k_cover-drive_cover-drive-vid248-47,cricshot10k
208,cs10k_defensive_defensive-vid247-14,cricshot10k
209,cs10k_defensive_defensive-vid248-24,cricshot10k
210,cs10k_down-the-wicket_down-the-wicket-vid443-49,cricshot10k
211,cs10k_down-the-wicket_down-the-wicket-vid445-1,cricshot10k
212,cs10k_flick_flick-vid309-7,cricshot10k
213,cs10k_flick_flick-vid313-27,cricshot10k
214,cs10k_hook_hook-vid378-39,cricshot10k
215,cs10k_hook_hook-vid382-10,cricshot10k
216,cs10k_lofted-legside_lofted-legside-vid290-10,cricshot10k
217,cs10k_lofted-legside_lofted-legside-vid300-11,cricshot10k
218,cs10k_lofted-legside_lofted-legside-vid65-27,cricshot10k
219,cs10k_lofted-legside_lofted-legside-vid72-27,cricshot10k
220,cs10k_lofted-offside_lofted-offside-vid484-15,cricshot10k
221,cs10k_lofted-offside_lofted-offside-vid486-22,cricshot10k
222,cs10k_pull_pull-vid467-24,cricshot10k
223,cs10k_pull_pull-vid472-16,cricshot10k
224,cs10k_square-cut_square-cut-vid112-10,cricshot10k
225,cs10k_square-cut_square-cut-vid118-9,cricshot10k
226,cs10k_square-cut_square-cut-vid506-21,cricshot10k
227,cs10k_square-cut_square-cut-vid509-1,cricshot10k
228,cs10k_sweep_sweep-vid260-31,cricshot10k
229,cs10k_sweep_sweep-vid28-39,cricshot10k
230,cs10k_upper-cut_upper-cut-vid23-22,cricshot10k
231,cs10k_upper-cut_upper-cut-vid244-5,cricshot10k
232,ipl_flick_flick-24-gt-rr-flick-4,ipl2023
233,ipl_flick_flick-26-lsg-mi-flick-5,ipl2023
234,ipl_pull_pull-9-rr-mi-pull-1,ipl2023
235,ipl_slog_slog-10-gt-dc-slog-2,ipl2023
236,ku_defensive-shot_defensive-shot-76,kucricshot
237,ku_defensive-shot_defensive-shot-85,kucricshot
238,ku_pull-shot_pull-shot-209,kucricshot
239,ku_pull-shot_pull-shot-22,kucricshot
240,amt_cut_-icc-wt20-new-zealand-vs-pakistan-match-highlights-1761-1858,amittalmale
241,amt_cut_d-videos-cut-icc-wt20-scotland-vs-zimbabwe-highlights-98-193,amittalmale
242,cs10_defense_cricketshot-train-defense-defense-0074,cricshot10
243,cs10_defense_cricketshot-train-defense-defense-0084,cricshot10
244,cs10_pull_cricketshot-train-pull-pull-0088,cricshot10
245,cs10_pull_cricketshot-train-pull-pull-0099,cricshot10
246,cs10k_cover-drive_cover-drive-vid245-6,cricshot10k
247,cs10k_cover-drive_cover-drive-vid248-50,cricshot10k
248,cs10k_defensive_defensive-vid247-15,cricshot10k
249,cs10k_defensive_defensive-vid248-43,cricshot10k
250,cs10k_down-the-wicket_down-the-wicket-vid443-57,cricshot10k
251,cs10k_down-the-wicket_down-the-wicket-vid445-11,cricshot10k
252,cs10k_flick_flick-vid31-25,cricshot10k
253,cs10k_flick_flick-vid313-29,cricshot10k
254,cs10k_hook_hook-vid378-40,cricshot10k
255,cs10k_hook_hook-vid384-41,cricshot10k
256,cs10k_lofted-legside_lofted-legside-vid291-17,cricshot10k
257,cs10k_lofted-legside_lofted-legside-vid300-14,cricshot10k
258,cs10k_lofted-legside_lofted-legside-vid65-39,cricshot10k
259,cs10k_lofted-legside_lofted-legside-vid73-16,cricshot10k
260,cs10k_lofted-offside_lofted-offside-vid484-6,cricshot10k
261,cs10k_lofted-offside_lofted-offside-vid486-35,cricshot10k
262,cs10k_pull_pull-vid468-32,cricshot10k
263,cs10k_pull_pull-vid472-19,cricshot10k
264,cs10k_square-cut_square-cut-vid112-4,cricshot10k
265,cs10k_square-cut_square-cut-vid119-0,cricshot10k
266,cs10k_square-cut_square-cut-vid506-31,cricshot10k
267,cs10k_square-cut_square-cut-vid509-8,cricshot10k
268,cs10k_sweep_sweep-vid260-39,cricshot10k
269,cs10k_sweep_sweep-vid28-49,cricshot10k
270,cs10k_upper-cut_upper-cut-vid232-16,cricshot10k
271,cs10k_upper-cut_upper-cut-vid246-15,cricshot10k
272,ipl_flick_flick-24-gt-rr-flick-5,ipl2023
273,ipl_flick_flick-26-lsg-mi-flick-6,ipl2023
274,ipl_pull_pull-9-rr-mi-pull-2,ipl2023
275,ipl_slog_slog-10-gt-dc-slog-3,ipl2023
276,ku_defensive-shot_defensive-shot-77,kucricshot
277,ku_defensive-shot_defensive-shot-86,kucricshot
278,ku_pull-shot_pull-shot-21,kucricshot
279,ku_pull-shot_pull-shot-220,kucricshot
280,amt_cut_-icc-wt20-south-africa-vs-england-match-highlights-2949-3035,amittalmale
281,amt_cut_deos-cut-icc-wt20-hong-kong-vs-zimbabwe-highlights-1195-1359,amittalmale
282,cs10_defense_cricketshot-train-defense-defense-0075,cricshot10
283,cs10_defense_cricketshot-train-defense-defense-0085,cricshot10
284,cs10_pull_cricketshot-train-pull-pull-0090,cricshot10
285,cs10_pull_cricketshot-train-pull-pull-0100,cricshot10
286,cs10k_cover-drive_cover-drive-vid246-14,cricshot10k
287,cs10k_cover-drive_cover-drive-vid249-15,cricshot10k
288,cs10k_defensive_defensive-vid247-18,cricshot10k
289,cs10k_defensive_defensive-vid248-53,cricshot10k
290,cs10k_down-the-wicket_down-the-wicket-vid443-65,cricshot10k
291,cs10k_down-the-wicket_down-the-wicket-vid445-12,cricshot10k
292,cs10k_flick_flick-vid31-26,cricshot10k
293,cs10k_flick_flick-vid313-37,cricshot10k
294,cs10k_hook_hook-vid379-35,cricshot10k
295,cs10k_hook_hook-vid384-42,cricshot10k
296,cs10k_lofted-legside_lofted-legside-vid292-21,cricshot10k
297,cs10k_lofted-legside_lofted-legside-vid300-15,cricshot10k
298,cs10k_lofted-legside_lofted-legside-vid65-48,cricshot10k
299,cs10k_lofted-legside_lofted-legside-vid73-23,cricshot10k
300,cs10k_lofted-offside_lofted-offside-vid484-9,cricshot10k
301,cs10k_lofted-offside_lofted-offside-vid486-64,cricshot10k
302,cs10k_pull_pull-vid469-33,cricshot10k
303,cs10k_pull_pull-vid472-3,cricshot10k
304,cs10k_square-cut_square-cut-vid114-13,cricshot10k
305,cs10k_square-cut_square-cut-vid119-19,cricshot10k
306,cs10k_square-cut_square-cut-vid507-12,cricshot10k
307,cs10k_square-cut_square-cut-vid51-5,cricshot10k
308,cs10k_sweep_sweep-vid261-14,cricshot10k
309,cs10k_sweep_sweep-vid28-56,cricshot10k
310,cs10k_upper-cut_upper-cut-vid232-23,cricshot10k
311,cs10k_upper-cut_upper-cut-vid246-33,cricshot10k
312,ipl_flick_flick-24-gt-rr-flick-6,ipl2023
313,ipl_flick_flick-27-rcb-dc-flick-1,ipl2023
314,ipl_pull_pull-9-rr-mi-pull-3,ipl2023
315,ipl_slog_slog-10-gt-dc-slog-4,ipl2023
316,ku_defensive-shot_defensive-shot-78,kucricshot
317,ku_defensive-shot_defensive-shot-87,kucricshot
318,ku_pull-shot_pull-shot-210,kucricshot
319,ku_pull-shot_pull-shot-221,kucricshot
320,amt_cut_-wt20-afghanistan-vs-south-africa-match-highlights-2124-2277,amittalmale
321,amt_cut_deos-cut-icc-wt20-hong-kong-vs-zimbabwe-highlights-4165-4365,amittalmale
322,cs10_defense_cricketshot-train-defense-defense-0076,cricshot10
323,cs10_defense_cricketshot-train-defense-defense-0086,cricshot10
324,cs10_pull_cricketshot-train-pull-pull-0091,cricshot10
325,cs10_pull_cricketshot-train-pull-pull-0101,cricshot10
326,cs10k_cover-drive_cover-drive-vid246-5,cricshot10k
327,cs10k_cover-drive_cover-drive-vid249-16,cricshot10k
328,cs10k_defensive_defensive-vid247-29,cricshot10k
329,cs10k_defensive_defensive-vid248-54,cricshot10k
330,cs10k_down-the-wicket_down-the-wicket-vid443-67,cricshot10k
331,cs10k_down-the-wicket_down-the-wicket-vid445-16,cricshot10k
332,cs10k_flick_flick-vid31-38,cricshot10k
333,cs10k_flick_flick-vid313-38,cricshot10k
334,cs10k_hook_hook-vid38-21,cricshot10k
335,cs10k_hook_hook-vid385-17,cricshot10k
336,cs10k_lofted-legside_lofted-legside-vid293-7,cricshot10k
337,cs10k_lofted-legside_lofted-legside-vid302-2,cricshot10k
338,cs10k_lofted-legside_lofted-legside-vid68-10,cricshot10k
339,cs10k_lofted-legside_lofted-legside-vid74-17,cricshot10k
340,cs10k_lofted-offside_lofted-offside-vid485-21,cricshot10k
341,cs10k_lofted-offside_lofted-offside-vid486-70,cricshot10k
342,cs10k_pull_pull-vid47-11,cricshot10k
343,cs10k_pull_pull-vid472-43,cricshot10k
344,cs10k_square-cut_square-cut-vid114-22,cricshot10k
345,cs10k_square-cut_square-cut-vid119-2,cricshot10k
346,cs10k_square-cut_square-cut-vid507-22,cricshot10k
347,cs10k_square-cut_square-cut-vid51-50,cricshot10k
348,cs10k_sweep_sweep-vid261-30,cricshot10k
349,cs10k_sweep_sweep-vid280-15,cricshot10k
350,cs10k_upper-cut_upper-cut-vid232-3,cricshot10k
351,cs10k_upper-cut_upper-cut-vid246-7,cricshot10k
352,ipl_flick_flick-24-gt-rr-flick-7,ipl2023
353,ipl_flick_flick-27-rcb-dc-flick-2,ipl2023
354,ipl_pull_pull-9-rr-mi-pull-4,ipl2023
355,ipl_slog_slog-10-gt-dc-slog-5,ipl2023
356,ku_defensive-shot_defensive-shot-79,kucricshot
357,ku_defensive-shot_defensive-shot-88,kucricshot
358,ku_pull-shot_pull-shot-211,kucricshot
359,ku_pull-shot_pull-shot-223,kucricshot
360,amt_cut_-wt20-afghanistan-vs-south-africa-match-highlights-2848-2956,amittalmale
361,amt_cut_deos-cut-icc-wt20-hong-kong-vs-zimbabwe-highlights-4366-4552,amittalmale
362,cs10_defense_cricketshot-train-defense-defense-0077,cricshot10
363,cs10_defense_cricketshot-train-defense-defense-0087,cricshot10
364,cs10_pull_cricketshot-train-pull-pull-0092,cricshot10
365,cs10_pull_cricketshot-train-pull-pull-0102,cricshot10
366,cs10k_cover-drive_cover-drive-vid248-0,cricshot10k
367,cs10k_cover-drive_cover-drive-vid249-30,cricshot10k
368,cs10k_defensive_defensive-vid247-3,cricshot10k
369,cs10k_defensive_defensive-vid248-6,cricshot10k
370,cs10k_down-the-wicket_down-the-wicket-vid443-68,cricshot10k
371,cs10k_down-the-wicket_down-the-wicket-vid445-31,cricshot10k
372,cs10k_flick_flick-vid310-8,cricshot10k
373,cs10k_flick_flick-vid314-4,cricshot10k
374,cs10k_hook_hook-vid38-23,cricshot10k
375,cs10k_hook_hook-vid385-39,cricshot10k
376,cs10k_lofted-legside_lofted-legside-vid294-16,cricshot10k
377,cs10k_lofted-legside_lofted-legside-vid303-24,cricshot10k
378,cs10k_lofted-legside_lofted-legside-vid68-2,cricshot10k
379,cs10k_lofted-legside_lofted-legside-vid74-33,cricshot10k
380,cs10k_lofted-offside_lofted-offside-vid485-30,cricshot10k
381,cs10k_lofted-offside_lofted-offside-vid487-12,cricshot10k
382,cs10k_pull_pull-vid470-20,cricshot10k
383,cs10k_pull_pull-vid472-46,cricshot10k
384,cs10k_square-cut_square-cut-vid115-23,cricshot10k
385,cs10k_square-cut_square-cut-vid119-20,cricshot10k
386,cs10k_square-cut_square-cut-vid507-28,cricshot10k
387,cs10k_square-cut_square-cut-vid510-11,cricshot10k
388,cs10k_sweep_sweep-vid263-4,cricshot10k
389,cs10k_sweep_sweep-vid281-2,cricshot10k
390,cs10k_upper-cut_upper-cut-vid232-4,cricshot10k
391,cs10k_upper-cut_upper-cut-vid248-45,cricshot10k
392,ipl_flick_flick-25-kkr-srh-flick-1,ipl2023
393,ipl_flick_flick-27-rcb-dc-flick-3,ipl2023
394,ipl_pull_pull-9-rr-mi-pull-5,ipl2023
395,ipl_slog_slog-10-gt-dc-slog-6,ipl2023
396,ku_defensive-shot_defensive-shot-8,kucricshot
397,ku_defensive-shot_defensive-shot-89,kucricshot
398,ku_pull-shot_pull-shot-214,kucricshot
399,ku_pull-shot_pull-shot-224,kucricshot
